Company,Ticker,CEO,hire date,End Date,YOE,Exec YOE
Goodyear Tire & Rubber,GT,Richard J. Kramer,4/1/2010,Present,0,10
Offerpad Solutions,OPAD,Brian Bair,7/1/2015,Present,-1,-1
Stagwell,STGW,Mark Penn,3/1/2019,Present,-1,-1
Belden,BDC,Ashish Chand,3/1/2023,Present,-1,-1
Group 1 Automotive,GPI,Daryl A. Kenningham,1/1/2023,Present,0,25
Valmont Industries,VMI,Avner M. Applbaum,7/1/2023,Present,0,24
Designer Brands,DBI,Douglas M. Howe,4/1/2023,Present,0,30
Starbucks,SBUX,Laxman Narasimhan,10/1/2022,Present,7,22
Andersons,ANDE,Patrick E. Bowe,1/1/2015,Present,0,23
Comfort Systems USA,FIX,Brian E. Lane,1/1/2009,Present,-1,-1
Microchip Technology,MCHP,Ganesh Moorthy,3/1/2021,Present,1,21
MGM Resorts International,MGM,William J. Hornbuckle,3/1/2020,Present,0,7
Topgolf Callaway Brands,MODG,Oliver G. Brewer III,3/1/2012,Present,-1,10
Viatris,VTRS,Scott A. Smith,4/1/2023,Present,0,-1
Chipotle Mexican Grill,CMG,Brian R. Niccol,2/1/2018,Present,3,18
Pfizer,PFE,Albert Bourla,1/1/2019,Present,0,15
Plains GP Holdings,PAGP,Wilfred C.W. Chiang,10/1/2018,Present,-1,-1
WEC Energy Group,WEC,Scott J. Lauber,6/1/2020,Present,-1,-1
Union Pacific,UNP,Jim Vena,8/1/2023,Present,-1,-1
Zions Bancorp.,ZION,Harris H. Simmons,1/1/1990,Present,0,-1
DISH Network,DISH,W. Erik Carlson,12/1/2017,Present,0,18
Norfolk Southern,NSC,Alan H. Shaw,1/1/2021,Present,-1,-1
IDEXX Laboratories,IDXX,Jonathan J. Mazelsky,10/1/2019,Present,0,13
Marathon Oil,MRO,Lee M. Tillman,7/1/2013,Present,-1,-1
Waste Management,WM,James C. Fish Jr.,11/1/2016,Present,0,30
Autodesk,ADSK,Andrew Anagnost,6/1/2017,Present,0,17
Magellan Midstream Partners,MMP,Aaron L. Milford,5/1/2022,Present,-1,-1
Halliburton,HAL,Jeffrey A. Miller,6/1/2017,Present,0,13
CMS Energy,CMS,Garrick J. Rochow,12/1/2020,Present,0,10
Cardinal Health,CAH,Jason Hollar,9/1/2022,Present,0,27
MasTec,MTZ,Jos̩ R. Mas,4/1/2007,Present,0,6
Zebra Technologies,ZBRA,William J. Burns,12/1/2002,Present,-1,-1
Owens Corning,OC,Brian D. Chambers,4/1/2019,Present,0,19
Advantage Solutions,ADV,David Peacock,1/1/2023,Present,0,-1
Genesis Energy,GEL,Grant E. Sims,10/1/2023,Present,-1,-1
Moody's,MCO,Robert S. Fauber,1/1/2021,Present,0,29
O'Reilly Automotive,ORLY,Gregory D. Johnson,3/1/2022,Present,0,19
Honeywell International,HON,Vimal Kapur,6/1/2023,Present,0,-1
